row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
1274,line,1327,東北電力ネットワーク 66.0kV線,1378,533,66.0,68.59,0.000303,1
1275,line,1328,沼宮内線,1464,613,66.0,137.18,0.000261,0
1276,line,1329,仙人変電所~北上市変電所線,1397,1380,66.0,68.59,0.000671,1
1277,line,1330,川尻変電所~仙人変電所線,1397,1398,66.0,137.18,0.00034,1
1278,line,1331,仙人変電所~北上市変電所線,1380,1377,66.0,68.59,0.000323,0
1279,line,1332,後藤野線,1380,539,66.0,137.18,6.1e-05,0
1280,line,1333,柳原変電所~北上市変電所線,1377,532,66.0,68.59,0.000158,0
1281,line,1334,奥州市変電所~日高変電所線,1415,526,66.0,68.59,0.000293,1
1282,line,1335,奥州市変電所~日高変電所線,526,527,66.0,68.59,0.000737,1
1283,line,1336,東北電力ネットワーク 66.0kV線,526,528,66.0,68.59,4.9e-05,1
1284,line,1337,六原線,527,1510,66.0,137.18,0.000171,0
1285,line,1338,水金線;六原線,527,1523,66.0,137.18,0.000374,0
1286,line,1339,駒形線,527,1504,66.0,68.59,0.002084,0
1287,line,1340,東根変電所~大字東根乙変電所線,1358,1446,66.0,274.36,4e-06,1
1288,line,1341,東根変電所~大字東根乙変電所線,1446,1369,66.0,68.59,4.3e-05,1
1289,line,1342,東根変電所~大字東根乙変電所線,1369,1444,66.0,68.59,2.8e-05,1
1290,line,1343,東根変電所~大字東根乙変電所線,1444,1445,66.0,68.59,4.7e-05,1
1291,line,1344,雫石線,1375,1480,66.0,137.18,0.000188,0
1292,line,1345,渋民線;岩盛線,1374,645,154.0,1066.94,7.1e-05,0
1293,line,1346,岩盛線,1374,642,154.0,1066.94,1.1e-05,0
1294,line,1347,羽中線;盛岡線;葛根田地熱線,529,1479,154.0,1066.94,3e-06,0
1295,line,1348,葛根田地熱線,530,1480,66.0,68.59,0.000742,0
1296,line,1349,東北電力ネットワーク 66.0kV線,530,531,66.0,68.59,9.8e-05,1
1297,line,1350,葛根田地熱線,1389,1390,66.0,68.59,2.3e-05,1
1298,line,1351,葛根田地熱線,1390,1388,66.0,68.59,0.000664,1
1299,line,1352,葛根田連絡線,1388,1376,66.0,68.59,0.000169,0
1300,line,1353,柳原変電所~北上市変電所線,532,1521,66.0,68.59,0.000422,0
1301,line,1354,東北電力ネットワーク 66.0kV線,532,555,66.0,137.18,5.5e-05,1
1302,line,1355,大堤線,1521,1539,66.0,137.18,0.000275,0
1303,line,1356,柳原線,1521,1535,66.0,274.36,0.000126,0
1304,line,1357,北工業団地変電所~柳原変電所線,1521,649,66.0,137.18,0.000166,0
1305,line,1358,東北電力ネットワーク 33.0kV線,533,534,66.0,68.59,0.000282,1
1306,line,1359,東北電力ネットワーク 66.0kV線,533,537,66.0,68.59,0.000174,1
1307,line,1360,東北電力ネットワーク 33.0kV線,534,723,66.0,68.59,3e-06,1
1308,line,1361,東北電力ネットワーク 33.0kV線,534,724,66.0,137.18,4.4e-05,1
1309,line,1362,雫石町変電所~柏台変電所線,535,536,66.0,68.59,0.000454,1
1310,line,1363,雫石町変電所~柏台変電所線,536,537,66.0,68.59,0.000104,1
1311,line,1364,東北送電線_200,536,587,66.0,68.59,7.1e-05,1
1312,line,1365,東北電力ネットワーク 33.0kV線,537,538,66.0,68.59,4.3e-05,1
1313,line,1366,後藤野線,1535,539,66.0,137.18,0.000219,0
1314,line,1367,宮野目線;飯豊線,1535,630,66.0,274.36,1.3e-05,0
1315,line,1368,東北電力ネットワーク 66.0kV線,539,540,66.0,68.59,0.000131,1
1316,line,1369,鶴岡市変電所~大字清助新田変電所線,541,547,154.0,533.47,0.000149,1
1317,line,1370,東北送電線_157,542,543,66.0,68.59,9e-06,1
1318,line,1374,東北送電線_159,544,545,66.0,68.59,0.000363,1
1319,line,1375,東北電力ネットワーク 66.0kV線,544,546,66.0,137.18,0.000405,0
1320,line,1376,東北電力ネットワーク 66.0kV線,546,562,66.0,342.95,4e-06,1
1321,line,1377,岩谷線,1387,549,66.0,137.18,0.000347,0
