col,pp_bus,built_node_id,kv,lat,lon
4820,5362,tokyo_sub_1222@66,66.0,36.1876,139.34842
4821,5363,tokyo_sub_1223,66.0,36.18904,139.37073
4822,5364,tokyo_sub_1224,66.0,36.24993,139.15539
4823,5365,tokyo_sub_1225,66.0,36.24659,139.16546
4824,5366,tokyo_sub_1226,66.0,36.24966,139.20731
4825,5367,tokyo_sub_1227,66.0,36.23776,139.20354
4826,5368,tokyo_sub_1228,66.0,36.20198,139.22761
4827,5369,tokyo_sub_1229,66.0,36.20494,139.22582
4828,5370,tokyo_sub_1230@275,275.0,36.16922,139.18787
4829,5371,tokyo_sub_1230@66,66.0,36.16922,139.18787
4830,5372,tokyo_sub_1231,66.0,35.97043,139.0745
4831,5373,tokyo_sub_1232,66.0,35.91992,139.4953
4832,5374,tokyo_sub_1233,66.0,35.90787,139.23596
4833,5375,tokyo_sub_1234,66.0,36.37017,139.18446
4834,5376,tokyo_sub_1235,66.0,36.3661,139.18496
4835,5377,tokyo_sub_1236,66.0,36.41192,139.15636
4836,5378,tokyo_sub_1237,66.0,36.22852,139.03663
4837,5379,tokyo_sub_1238,66.0,36.33678,138.99453
4838,5380,tokyo_sub_1239,66.0,36.31367,139.21883
4839,5381,tokyo_sub_1240,66.0,36.38757,138.98875
4840,5382,tokyo_sub_1241,66.0,36.38565,138.99018
4841,5383,tokyo_sub_1242,66.0,36.34888,139.27589
4842,5384,tokyo_sub_1243,66.0,36.25095,138.96944
4843,5385,tokyo_sub_1244,66.0,36.61347,138.59142
4844,5386,tokyo_sub_1245,275.0,35.97212,139.62229
4845,5387,tokyo_sub_1246,66.0,36.33412,138.9223
4846,5388,tokyo_sub_1247,66.0,35.90642,139.4305
4847,5389,tokyo_sub_1248,66.0,36.31985,139.17622
4848,5390,tokyo_sub_1249,66.0,36.03124,139.52707
4849,5391,tokyo_sub_1250@154,154.0,36.40998,139.02643
4850,5392,tokyo_sub_1250@66,66.0,36.40998,139.02643
4851,5393,tokyo_sub_1251,66.0,36.43982,139.28199
4852,5394,tokyo_sub_1252,66.0,36.64075,139.05179
4853,5395,tokyo_sub_1253,66.0,36.30772,139.44572
4854,5396,tokyo_sub_1254,66.0,36.31144,139.45651
4855,5397,tokyo_sub_1255,66.0,36.29052,139.49067
4856,5398,tokyo_sub_1256,66.0,36.30031,139.56051
4857,5399,tokyo_sub_1257,66.0,36.35535,139.57718
4858,5400,tokyo_sub_1258,66.0,36.25728,139.51854
4859,5401,tokyo_sub_1259,66.0,36.26804,139.48753
4860,5402,tokyo_sub_1260,66.0,36.3247,139.42765
4861,5403,tokyo_sub_1261,66.0,36.3601,139.39544
4862,5404,tokyo_sub_1262,66.0,36.36596,139.38958
4863,5405,tokyo_sub_1264@66,66.0,36.63199,139.43769
4864,5406,tokyo_sub_1265,66.0,36.54218,139.35288
4865,5407,tokyo_sub_1266@154,154.0,36.78193,139.23232
4866,5408,tokyo_sub_1266@u,66.0,36.78193,139.23232
4867,5409,tokyo_sub_1267,66.0,36.74978,139.62579
4868,5410,tokyo_sub_1268,66.0,36.2837,139.38899
