muni_code,pref_code,pref_name_x,muni_name_x,pref_name_y,muni_name_y,n_bus,load_mw,customers,intensity_mean,expected_outage_days,served_t0,outage_customers_t0,served_t0.25,outage_customers_t0.25,served_t0.5,outage_customers_t0.5,served_t1,outage_customers_t1,served_t2,outage_customers_t2,served_t3,outage_customers_t3,served_t4,outage_customers_t4,served_t5,outage_customers_t5,served_t7,outage_customers_t7,served_t10,outage_customers_t10,served_t14,outage_customers_t14,served_t21,outage_customers_t21,served_t30,outage_customers_t30,served_t45,outage_customers_t45,served_t60,outage_customers_t60,served_t90,outage_customers_t90
14114,14,神奈川県,横浜市瀬谷区,神奈川県,横浜市瀬谷区,2,32.942522633402724,22806.36182312496,5.500615755399488,0.1756955751088954,0.8324169558057417,3821.9595413149923,0.8449543262903507,3536.027733732436,0.8559036717277306,3286.3129999611647,0.9572139944938513,975.7931225394441,0.9846880227327346,349.21049378471656,0.9985454481152387,33.17303657437396,0.9985438188222739,33.21019481924683,0.9985438337234349,33.20985497797306,0.9985374265221448,33.3559799288702,0.999689644575119,7.078078113605848,0.9996679195761681,7.573546300287601,0.9996394288539887,8.22331601891484,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14115,14,神奈川県,横浜市栄区,神奈川県,横浜市栄区,8,32.942522633402724,22806.36182312496,5.433101236592801,0.14774449400603826,0.8334128025174141,3799.247900888225,0.8459556770324707,3513.1905663957928,0.8626416312043482,3132.644658187868,0.9747159289625975,576.637672440597,0.9935341765788885,147.46190842630324,0.9958531404229309,94.57477994432583,0.9996976649761199,6.8951619464103135,0.9996976798772811,6.894822105136543,0.9996912726759909,7.040947056034272,0.999689644575119,7.078078113605848,0.9996679195761681,7.573546300287601,0.9996394288539887,8.22331601891484,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14116,14,神奈川県,横浜市泉区,神奈川県,横浜市泉区,2,22.80636182312496,15789.019723701895,5.536740179817579,0.44878613635897674,0.8124192994832993,2961.715380244006,0.8242143747210505,2775.482704672607,0.8332892060279846,2632.2000141781537,0.9250000000000002,1184.1764792776414,0.96,631.5607889480764,0.969699294269085,478.4184404275045,0.9746976649761201,399.4990667477548,0.9796976798772813,320.5537328545173,0.9796912726759912,320.6548962820601,0.984689644575119,241.7355037803327,0.9946679195761681,84.18832298024712,0.9996394288539887,5.693064936171812,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14117,14,神奈川県,横浜市青葉区,神奈川県,横浜市青葉区,11,174.8487739772914,121049.15121504788,5.2304718771122,0.20074605061686168,0.8297948222488596,20603.192299181886,0.842899166289447,19016.922575838817,0.8585623084591784,17120.912510832226,0.9662409525936926,4086.5040343620476,0.983976828067199,1939.5913622383325,0.9905791987457135,1140.379995597016,0.9957384477318197,515.8572849217861,0.9961469552396,466.4077978400032,0.9961405480383098,467.18338411783736,0.9965737025461333,414.75039860082114,0.9996679195761681,40.198053439988044,0.9996394288539886,43.646831177317225,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14118,14,神奈川県,横浜市都筑区,神奈川県,横浜市都筑区,8,93.7594874950693,64910.41441966334,5.50101973808169,0.29581368112584266,0.82100441748226,11618.677440515545,0.836527590695265,10611.061834151165,0.8505888214304639,9698.3415198789,0.9515777148346642,3143.110597229057,0.9664614170789718,2177.00331645218,0.9804481145820103,1269.1209851674876,0.9846115571421545,998.8702031760545,0.9888007588161004,726.9473864326808,0.9937453267300451,405.9934340123622,0.9941491040345782,379.78408184184906,0.9971003520086004,188.21735279288572,0.9996394288539885,23.404822515373006,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14131,14,神奈川県,川崎市川崎区,神奈川県,川崎市川崎区,30,433.3208746393743,299991.374750336,5.524567785460665,52.978105671367445,0.19219355030715116,242334.96737554585,0.19522445242307335,241425.7228830567,0.199792309598616,240055.40512930247,0.2192798788645114,234209.3024346841,0.22382690723179374,232845.23314375425,0.22552610943540488,232335.48713871418,0.22698762133804676,231897.04617382665,0.22745546195242136,231756.69802475636,0.22809686335555293,231564.28313606416,0.22990925279974234,231020.58193511874,0.23721284198133566,228829.56817592087,0.25714603182865164,222849.78315046517,0.3080701754385965,207572.97930093424,0.3915204678362572,182538.61136124242,0.48733918128654957,153793.82378648076,0.6947076023391812,91585.08607509527
14132,14,神奈川県,川崎市幸区,神奈川県,川崎市幸区,5,91.22544729249985,63156.07889480758,5.50129799144991,2.003000354446058,0.8355104314784209,10388.516166921707,0.8458867442607879,9733.188938201332,0.8596730720003446,8862.49853581222,0.9266666666666666,4631.445785619224,0.9567191275291972,2733.4501964021233,0.9703383791943392,1873.3116637501855,0.9717260913716422,1785.669203997146,0.9731149910224808,1697.95174807181,0.9731103635993269,1698.2439979736025,0.9731091877486971,1698.3182600887455,0.9730934974716767,1699.3091964621124,0.9730729208389918,1700.6087358993636,0.9733333333333333,1684.162103861537,0.9755555555555555,1543.8152618730755,0.9844444444444445,982.42789391923,0.991111111111111,561.3873679538457
14133,14,神奈川県,川崎市中原区,神奈川県,川崎市中原区,2,50.680804051388805,35086.710497115324,5.464075660257954,0.14442406371235864,0.879368912279606,4232.548051797591,0.8895541109144688,3875.182935940543,0.9063060230016707,3287.413446263759,0.9748270958662033,883.234399714162,0.9848440113663673,531.7737854858394,0.9948496471345425,180.70893994829788,0.99484883248806,180.73752321358472,0.9973488399386407,93.02048555443189,0.9973456363379956,93.1328893628128,0.9973448222875595,93.16145171479289,0.999833959788084,5.825804846375078,0.9998197144269944,6.32562770685757,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14134,14,神奈川県,川崎市高津区,神奈川県,川崎市高津区,11,202.72321620555522,140346.8419884613,5.399186046873252,0.14986638037115388,0.833412802517414,23379.987082389078,0.8459556770324707,21619.63425474334,0.8629900963306427,19228.907301137588,0.971712514579296,3970.0592465904315,0.9916880227327347,1166.5597601405639,0.9976992942690848,322.8967836786917,0.99969766497612,42.43176582406347,0.9996976798772812,42.42967449314796,0.999691272675991,43.328904960210906,0.9996896445751189,43.55740377603599,0.9996679195761681,46.606438771000626,0.9996394288539885,50.60502165486055,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14135,14,神奈川県,川崎市多摩区,神奈川県,川崎市多摩区,5,126.70201012847201,87716.77624278831,5.156045128156212,0.16934595000743918,0.8334128025174141,14612.491926493174,0.8459556770324707,13512.271409214589,0.8628845763802528,12027.322933088493,0.9597925150394438,3526.87096157037,0.9856880227327348,1255.400507544583,0.9956992942690849,377.24404228475714,0.9986976649761201,114.23662988282807,0.9986976798772812,114.23532280100588,0.999691272675991,27.080565600131816,0.999689644575119,27.223377360022493,0.9996679195761681,29.12902423187539,0.9996394288539887,31.62813853428785,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14136,14,神奈川県,川崎市宮前区,神奈川県,川崎市宮前区,4,55.74888445652769,38595.38154682686,5.178723516813376,0.17584577290510645,0.833412802517414,6429.496447656997,0.8470199140093543,5904.324787875353,0.8694080035253003,5040.247930902897,0.9677223459969866,1245.7683716827607,0.982045834714716,692.947859540324,0.992054032195698,306.67765916583426,0.9947801199826326,201.46326089894714,0.9960613162409173,152.01500247407714,0.9996912726759909,11.915448864058,0.9996896445751188,11.978286038409896,0.9996679195761679,12.81677066202517,0.9996394288539884,13.916380955086652,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14137,14,神奈川県,川崎市麻生区,神奈川県,川崎市麻生区,9,111.49776891305537,77190.7630936537,5.180051984802195,0.15664856542579206,0.831823112720793,12981.702263797375,0.8461735945398158,11873.977621425402,0.8616498853266239,10679.350925732397,0.967262463251298,2527.035443438829,0.9921665614707903,604.6690977169204,0.9958108664168553,323.3624179841948,0.9983097185059028,130.47411837244948,0.9996976798772811,23.336320971231377,0.999691272675991,23.830897728115996,0.9996896445751191,23.95657207681979,0.9996679195761681,25.633541324050345,0.9996394288539887,27.832761910173307,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
